TP,SL,Init,Threshold,WinRate,Profit,Drawdown
0.5,0.2,0.236,5,0.0000,-0.00,0.0000
0.5,0.2,0.382,5,0.0000,-0.00,0.0000
0.5,0.3,0.236,5,0.0000,-0.00,0.0000
0.5,0.3,0.382,5,0.0000,-0.00,0.0000
0.618,0.2,0.236,5,0.0000,-0.00,0.0000
0.618,0.2,0.382,5,0.0000,-0.00,0.0000
0.618,0.3,0.236,5,0.0000,-0.00,0.0000
0.618,0.3,0.382,5,0.0000,-0.00,0.0000
0.786,0.2,0.236,5,0.0000,-0.00,0.0000
0.786,0.2,0.382,5,0.0000,-0.00,0.0000
0.786,0.3,0.236,5,0.0000,-0.00,0.0000
0.786,0.3,0.382,5,0.0000,-0.00,0.0000
0.5,0.2,0.236,10,0.0000,-0.00,0.0000
0.5,0.2,0.382,10,0.0000,-0.00,0.0000
0.5,0.3,0.236,10,0.0000,-0.00,0.0000
0.5,0.3,0.382,10,0.0000,-0.00,0.0000
0.618,0.2,0.236,10,0.0000,-0.00,0.0000
0.618,0.2,0.382,10,0.0000,-0.00,0.0000
0.618,0.3,0.236,10,0.0000,-0.00,0.0000
0.618,0.3,0.382,10,0.0000,-0.00,0.0000
0.786,0.2,0.236,10,0.0000,-0.00,0.0000
0.786,0.2,0.382,10,0.0000,-0.00,0.0000
0.786,0.3,0.236,10,0.0000,-0.00,0.0000
0.786,0.3,0.382,10,0.0000,-0.00,0.0000
0.5,0.2,0.236,15,0.0000,-0.00,0.0000
0.5,0.2,0.382,15,0.0000,-0.00,0.0000
0.5,0.3,0.236,15,0.0000,-0.00,0.0000
0.5,0.3,0.382,15,0.0000,-0.00,0.0000
0.618,0.2,0.236,15,0.0000,-0.00,0.0000
0.618,0.2,0.382,15,0.0000,-0.00,0.0000
0.618,0.3,0.236,15,0.0000,-0.00,0.0000
0.618,0.3,0.382,15,0.0000,-0.00,0.0000
0.786,0.2,0.236,15,0.0000,-0.00,0.0000
0.786,0.2,0.382,15,0.0000,-0.00,0.0000
0.786,0.3,0.236,15,0.0000,-0.00,0.0000
0.786,0.3,0.382,15,0.0000,-0.00,0.0000
